Period,labor force,unemployment rate,CPI,Median Income,Effective Interest Rate,Houses on Market,Houses Sold in Period,Sales Rate over past Year,Months Remaining Inventory,Seasonally-corrected MRI,Median Market Price in Period,Median Sold Price in Period,Monthly Payment on Median Home Sold in Period,Qualifying Income for Median Home Sold in Period,Affordability Index,Unemployment-adjusted Affordability Index
2010-08-01,122169,3.9,217.923,50088,4.726880328797597,483,166,206.91666666666666,2.9096385542168677,2.334273056786146,154900,171450,713.58133760436294,34251.90420500942,146.23420555016767,140.53107153371113
2010-09-01,122025,3.5,218.275,50088,4.726880328797597,503,163,197.25,3.085889570552147,2.550063371356147,149900,145000,603.4954444597995,28967.781334070376,172.90934166604308,166.85751470773155
2010-10-01,122820,3.3,219.035,50088,4.726880328797597,510,165,187.66666666666666,3.090909090909091,2.7175843694493786,149900,146690,610.5292879159172,29305.405819964024,170.91727139938814,165.27700144320832
2010-11-01,122697,3.6,219.59,50088,4.726880328797597,511,161,183.41666666666666,3.1739130434782608,2.786006360745116,149900,148700,618.8949833873944,29706.95920259493,168.60695723992097,162.53710677928382
2010-12-01,122724,4,220.472,50088,4.726880328797597,488,114,183.83333333333334,4.280701754385965,2.6545784224841342,149900,149900,623.8894284449927,29946.69256535965,167.25720174500498,160.56691367520477
2011-01-01,122548,4.6,221.187,52393,4.437914892867031,485,93,183.5,5.21505376344086,2.6430517711171664,153200,148000,595.5556032864949,28586.668957751757,183.2777371768345,174.8469612667001
2011-02-01,122700,4.5,221.898,52393,4.437914892867031,533,116,179.41666666666666,4.594827586206897,2.9707385044124477,150790,159968,643.7151266657704,30898.32607995698,169.56582005258244,161.93535815021622
2011-03-01,123195,4.4,223.046,52393,4.437914892867031,539,146,173.91666666666666,3.691780821917808,3.099185433636799,149900,141500,569.3994450340475,27331.173361634283,191.696855845735,183.26219418852264
2011-04-01,124176,3.9,224.093,52393,4.437914892867031,543,187,160.58333333333334,2.9037433155080214,3.381421899325376,149900,148900,599.1772251983723,28760.50680952187,182.16994695884154,175.06531902744672
2011-05-01,124613,3.5,224.806,52393,4.437914892867031,549,217,145.83333333333334,2.5299539170506913,3.7645714285714282,154900,145500,585.495542420169,28103.786036168116,186.42683919018214,179.90189981852575
2011-06-01,125148,4.2,224.806,52393,4.437914892867031,620,224,150.41666666666666,2.767857142857143,4.121883656509696,156900,153416.5,617.3517311594768,29632.883095654885,176.80696080389987,169.38106845013607
2011-07-01,125196,3.7,225.395,52393,4.437914892867031,638,225,158.16666666666666,2.8355555555555556,4.033719704952582,154850,154900,623.3213712775545,29919.425821322613,175.1136546299,168.6344494085937
2011-08-01,124220,3.8,226.106,52393,4.437914892867031,636,203,161.08333333333334,3.1330049261083746,3.948266942576306,149900,148000,595.5556032864949,28586.668957751757,183.2777371768345,176.31318316411478
2011-09-01,124081,3.5,226.597,52393,4.437914892867031,615,227,166.33333333333334,2.709251101321586,3.697394789579158,151450,152500,613.6637128458816,29455.85821660232,177.86954165358364,171.64410769570821
2011-10-01,124462,3.1,226.75,52393,4.437914892867031,601,220,171.25,2.731818181818182,3.5094890510948904,154900,157901,635.3974683414922,30499.078480391625,171.78551815486605,166.4601670920652
2011-11-01,124497,3.2,227.169,52393,4.437914892867031,592,200,174.58333333333334,2.96,3.3909307875894985,149900,149900,603.2012495449027,28953.65997815533,180.954670461451,175.16412100668455
2011-12-01,123619,3.6,227.223,52393,4.437914892867031,569,164,178.08333333333334,3.4695121951219514,3.195133364529714,149900,163250,656.9219745710831,31532.25477941199,166.15684595510876,160.17519950072483
2012-01-01,121925,4.2,227.842,51525,3.8308522308,519,143,181.91666666666666,3.629370629370629,2.8529546495648193,148150,153000,572.4836448766075,27479.21495407716,187.5053566344882,179.6301316558397
2012-02-01,122797,4.2,228.329,51525,3.8308522308,587,146,185.08333333333334,4.02054794520548,3.1715443493921653,146783,140750,526.6475360547876,25279.081730629805,203.8246505511666,195.2640152280176
2012-03-01,122575,4.1,228.807,51525,3.8308522308,569,220,191.75,2.5863636363636364,2.967405475880052,148900,143950,538.6210501959977,25853.810409407888,199.29364060490934,191.12260134010805
2012-04-01,123829,3.2,229.187,51525,3.8308522308,561,287,199.41666666666666,1.9547038327526132,2.813205181780192,149900,148000,553.7750290309667,26581.2013934864,193.83999706132906,187.63711715536652
2012-05-01,124843,3,228.713,51525,3.8308522308,574,324,207.91666666666666,1.771604938271605,2.760721442885772,154400,145625,544.8884365042873,26154.64495220579,197.00133606919624,191.09129598712036
2012-06-01,125302,3.7,228.524,51525,3.8308522308,575,349,217.41666666666666,1.6475644699140402,2.644691452663856,159500,158000,591.1922607222483,28377.22851466792,181.5716428169411,174.85349203271429
2012-07-01,125389,3.4,228.59,51525,3.8308522308,534,279,220.66666666666666,1.913978494623656,2.419939577039275,158000,158900,594.5598115744635,28538.87095557425,180.54323200174136,174.40476211368215
2012-08-01,124154,3.3,229.918,51525,3.8308522308,536,269,226.75,1.9925650557620818,2.3638368246968025,149900,145000,542.5498595235822,26042.393257131946,197.85047975914966,191.32141392709772
2012-09-01,124455,2.8,231.015,51525,3.8308522308,502,268,230.08333333333334,1.873134328358209,2.1818181818181817,159000,150000,561.258475369223,26940.406817722702,191.25546376717801,185.90031078169702
2012-10-01,125439,2.7,231.638,51525,3.8308522308,500,235,231.08333333333334,2.127659574468085,2.1637216011539846,159900,164900,617.0101505892325,29616.487228283157,173.97404223818498,169.27674309775398
2012-11-01,124580,2.8,231.249,51525,3.8308522308,478,225,233,2.1244444444444444,2.051502145922747,159525,151000,565.0001985383511,27120.009529840856,189.98887129189868,184.6691828957255
2012-12-01,124404,3.3,231.221,51525,3.8308522308,448,163,232.91666666666666,2.7484662576687118,1.9234347048300537,159525,154000,576.2253680457356,27658.81766619531,186.28778938361492,180.1402923339556
2013-01-01,123327,4.3,231.679,51961,4.05882487,415,151,233.5,2.748344370860927,1.777301927194861,159900,149400,574.6675071700213,27584.04034416102,188.3734193819764,180.2733623485514
2013-02-01,124367,3.9,232.937,51961,4.05882487,410,200,238.16666666666666,2.05,1.7214835549335201,165147.5,164364,632.2265739524323,30346.87554971675,171.22355780868844,164.54583905414958
2013-03-01,124476,3.8,232.282,51961,4.05882487,398,227,239.5,1.7533039647577093,1.6617954070981211,164900,160803,618.5291777473959,29689.400531875006,175.015322199631,168.364739956045
2013-04-01,125064,3.4,231.797,51961,4.05882487,421,265,237.5,1.588679245283019,1.7726315789473683,171900,157000,603.9009278828203,28987.244538375373,179.25470608705268,173.16004608009288
2013-05-01,126257,2.9,231.893,51961,4.05882487,419,365,241.75,1.1479452054794521,1.7331954498448812,168900,164700,633.518998868156,30408.91194567149,170.87424927545396,165.9188960464658
2013-06-01,126547,3.5,232.445,51961,4.05882487,411,408,246.58333333333334,1.0073529411764706,1.666779317336938,174900,170000,653.9054633126079,31387.46223900518,165.54699326863098,159.7528485042289
2013-07-01,126773,3.1,232.9,51961,4.05882487,410,337,250.91666666666666,1.2166172106824926,1.6340086350049818,170930,168000,646.2124578618714,31018.197977369826,167.51779080754326,162.3247392925094
2013-08-01,125474,3,233.456,51961,4.05882487,440,302,253.5,1.4569536423841059,1.7357001972386588,169900,166000,638.5194524111348,30648.93371573447,169.5360774437787,164.44999512046533
2013-09-01,125768,2.6,233.544,51961,4.05882487,425,312,256.3333333333333,1.3621794871794872,1.657997399219766,172000,167950,646.0201327256029,31008.96637082894,167.5676621355598,163.21090292003524
2013-10-01,125483,2.4,233.669,51961,4.05882487,453,250,258.3333333333333,1.812,1.7535483870967743,170150,166500,640.442703773819,30741.24978114331,169.0269600940977,164.97031305183933
2013-11-01,125068,2.5,234.1,51961,4.05882487,459,224,258,2.049107142857143,1.7790697674418605,172645,165000,634.6729496857665,30464.301584916793,170.56356882222588,166.2994796016702
2013-12-01,124432,2.9,234.719,51961,4.05882487,397,198,259.8333333333333,2.005050505050505,1.527902501603592,171740,166000,638.5194524111348,30648.93371573447,169.5360774437787,164.6195311979091
2014-01-01,124317,3.5,235.288,53867,4.406964454,370,125,258,2.96,1.434108527131783,171950,147700,592.1852886309839,28424.893854287227,189.5064244606684,182.873699604545
2014-02-01,125096,3.5,235.547,53867,4.406964454,375,172,255.91666666666666,2.1802325581395348,1.4653207424291763,179500,157375,630.9760311327087,30286.84949437002,177.8560692158267,171.63110679327275
2014-03-01,125531,3.3,236.028,53867,4.406964454,397,196,253.83333333333334,2.0255102040816326,1.5640183847669074,196300,163750,656.5358227036128,31513.719489773415,170.93190163566854,165.29114888169147
2014-04-01,126262,2.6,236.468,53867,4.406964454,408,323,258.75,1.263157894736842,1.5768115942028986,187900,172500,691.6178895656379,33197.65869915062,162.26144285704768,158.04264534276444
2014-05-01,127738,2.3,236.918,53867,4.406964454,397,333,256.5,1.1921921921921923,1.5477582846003899,188900,170000,681.5944418907736,32716.533210757134,164.64764054612192,160.86074481356113
2014-06-01,128141,2.8,237.231,53867,4.406964454,418,306,248,1.3660130718954249,1.685483870967742,197637,173450,695.4267996820864,33380.48638474015,161.37272351017998,156.85428725189493
2014-07-01,128836,2.6,237.498,53867,4.406964454,411,331,248,1.241691842900302,1.657258064516129,199045,180000,721.6882325902309,34641.035164331086,155.50054940467066,151.45753512014923
2014-08-01,127148,2.5,237.46,53867,4.406964454,418,272,246.16666666666666,1.536764705882353,1.6980365605958023,194900,174950,701.440868287005,33669.16167777624,159.9891334257829,155.98940509013835
2014-09-01,127866,2.2,237.477,53867,4.406964454,395,282,242.66666666666666,1.400709219858156,1.6277472527472527,199900,177700,712.4666607293558,34198.39971500908,157.5132183052376,154.04792750252236
2014-10-01,128303,2.1,237.43,53867,4.406964454,383,265,244.08333333333334,1.4452830188679244,1.5691362239672242,195900,170755,684.6215230885826,32861.833108251965,163.91964447799901,160.47733194396102
2014-11-01,127696,2.1,236.983,53867,4.406964454,364,241,245.75,1.5103734439834025,1.4811800610376398,199900,174492,699.6045726729699,33581.019488302554,160.40906685028952,157.04047644643344
2014-12-01,127595,2.6,236.252,53867,4.406964454,318,208,246.08333333333334,1.5288461538461537,1.2922451743989163,204400,169950,681.3939729372763,32706.91070098926,164.69608056981892,160.41398247500362
2015-01-01,126846,3.4,234.747,56051,4.074137027,305,138,247.25,2.210144927536232,1.2335692618806875,212619,170045,655.2844056498868,31453.651471194567,178.2018855627361,172.14302145360307
2015-02-01,128169,3.2,235.342,56051,4.074137027,320,208,250.33333333333334,1.5384615384615385,1.2782956058588548,213000,185125,713.3966044043359,34243.03701140812,163.68583190015102,158.44788527934617
2015-03-01,128199,3.1,235.976,56051,4.074137027,306,246,254.58333333333334,1.2439024390243902,1.201963993453355,209900,192201,740.6646361275774,35551.902534123714,157.65963564453597,152.77218693955535
2015-04-01,129254,2.5,236.222,56051,4.074137027,324,347,257.4166666666667,0.9337175792507204,1.2586597604402718,200000,184000,709.0613110622434,34034.94293098768,164.68662842671446,160.5694627160466
2015-05-01,130648,2.3,237.001,56051,4.074137027,334,345,257.6666666666667,0.9681159420289855,1.296248382923674,214398,182900,704.8223575721973,33831.473163465474,165.67708928657987,161.86651623298854
2015-06-01,130508,2.6,237.657,56051,4.074137027,328,369,262.0833333333333,0.8888888888888888,1.2515103338632751,215098.5,199900,770.3334569638178,36976.00593426325,151.58749189852654,147.64621710916484
2015-07-01,131446,2.4,238.034,56051,4.074137027,351,324,261.1666666666667,1.0833333333333333,1.3439693682195277,199900,185694,715.5892994369143,34348.28637297189,163.18426890753312,159.26784645375233
2015-08-01,130506,2.2,238.033,56051,4.074137027,360,292,262.5,1.2328767123287672,1.3714285714285714,198500,185000,712.9149051441034,34219.91544691696,163.79643043521872,160.1929089656439
2015-09-01,130901,2,237.498,56051,4.074137027,364,289,263.0833333333333,1.259515570934256,1.3835920177383594,206432.5,192000,739.8900637171236,35514.72305842193,157.82468557560134,154.6681918640893
2015-10-01,132077,1.8,237.733,56051,4.074137027,372,229,260.4166666666667,1.6244541484716157,1.42848,207660,184900,712.5295457359174,34201.41819532403,163.885016930857,160.93508662610157
2015-11-01,131619,2,238.017,56051,4.074137027,357,256,261.5,1.39453125,1.3652007648183557,215900,195000,751.4508459627036,36069.640606209774,155.39661348982287,152.2886812200264
2015-12-01,132782,2.5,237.761,56051,4.074137027,334,181,258.9166666666667,1.8453038674033149,1.2899903443836498,214900,185000,712.9149051441034,34219.91544691696,163.79643043521872,159.70151967433824
2016-01-01,133023,3.3,237.652,60009,3.8811497457627113,308,168,261.0833333333333,1.8333333333333333,1.1796999680817108,224566,193798,729.5935238999035,35020.48914719537,171.35397437704222,165.69929322259983
2016-02-01,134687,3.1,237.336,60009,3.8811497457627113,325,204,261,1.5931372549019607,1.2452107279693487,229900,194250,731.2951734153926,35102.168323938844,170.9552511007569,165.65563831663343
2016-03-01,134997,3.3,238.08,60009,3.8811497457627113,306,223,258.25,1.3721973094170403,1.1848983543078413,235000,212199,798.8679768523701,38345.662888913765,156.49488228654246,151.33055117108657
2016-04-01,135211,2.5,238.992,60009,3.8811497457627113,324,301,255.25,1.0764119601328903,1.2693437806072478,232624.5,214528,807.63598951072,38766.527496514565,154.79591254438589,150.92601473077625
2016-05-01,136064,2.2,239.557,60009,3.8811497457627113,309,349,255.41666666666666,0.8853868194842407,1.2097879282218598,230900,211006,794.3766762506477,38130.080460031095,157.37968364085393,153.91733060075515
2016-06-01,135779,2.7,240.222,60009,3.8811497457627113,349,337,253.5,1.0356083086053411,1.3767258382642997,230000,205000,771.7658200780205,37044.75936374498,161.99052451864404,157.61678035664065
2016-07-01,136990,2.4,240.101,60009,3.8811497457627113,351,310,252.91666666666666,1.132258064516129,1.3878088962108732,230900,200500,754.8246191494785,36231.58171917497,165.6262220764191,161.65119274658505
2016-08-01,136080,2.4,240.545,60009,3.8811497457627113,385,258,249.91666666666666,1.4922480620155039,1.5405135045015006,237970,210750,793.4129101533796,38083.81968736222,157.5708542174236,153.78915371620542
2016-09-01,136227,2.1,241.176,60009,3.8811497457627113,405,268,248.16666666666666,1.5111940298507462,1.6319677635997314,230000,226400,852.3306422715309,40911.87082903348,146.6786993212104,143.59844663546497
2016-10-01,136308,1.9,241.741,60009,3.8811497457627113,450,257,250.25,1.7509727626459144,1.7982017982017982,227352,209900,790.2129055335439,37930.219465610106,158.2089448609911,155.20297490863226
2016-11-01,135912,2,242.026,60009,3.8811497457627113,438,241,249.16666666666666,1.8174273858921162,1.7578595317725754,219200,201500,758.5893304669323,36412.28786241275,164.804255713757,161.50817059948184
2016-12-01,135744,2.7,242.637,60009,3.8811497457627113,390,206,251.41666666666666,1.8932038834951457,1.5512098110706,218950,206500,777.4128870542011,37315.818578601655,160.81383789986455,156.4718642765682
2017-01-01,136547,3.3,243.62,63353,3.995620608695652,377,125,247.5,3.016,1.5232323232323233,226000,194900,743.9923196973691,35711.63134547372,177.4015848985563,171.54733259690394
2017-02-01,137974,3.2,243.872,63353,3.995620608695652,410,202,248.58333333333334,2.0297029702970297,1.6493462956754945,231630,209950,801.4427271444981,38469.250902935906,164.68477683604962,159.41486397729602
2017-03-01,137420,3.1,243.766,63353,3.995620608695652,399,240,249.83333333333334,1.6625,1.5970647098065376,233900,200770,766.3998872531596,36787.19458815166,172.21481743651253,166.87615809598063
2017-04-01,138206,2.4,244.274,63353,3.995620608695652,384,308,250.83333333333334,1.2467532467532467,1.5308970099667774,239800,202750,773.958146837566,37149.99104820317,170.5330155202398,166.44022314775404
2017-05-01,138492,2,244.069,63353,3.995620608695652,450,338,249.5,1.331360946745562,1.8036072144288577,239900,203887.5,778.3003287957791,37358.4157821974,169.58160209296116,166.18997005110194
2017-06-01,138179,2.5,244.218,63353,3.995620608695652,439,382,252.83333333333334,1.149214659685864,1.7363216875411998,237950,215985.5,824.4820583170659,39575.13879921917,160.08282452631596,156.08075391315805
2017-07-01,139343,2.2,244.28,63353,3.995620608695652,446,298,251.83333333333334,1.4966442953020134,1.771012574454004,239900,218000,832.1720148487761,39944.256712741255,158.60352704921385,155.11424945413114
2017-08-01,138141,2.2,245.205,63353,3.995620608695652,463,248,250.83333333333334,1.8669354838709677,1.8458471760797341,234900,221000,843.623923309998,40493.948318879906,156.45053799424713,153.0086261583737
2017-09-01,137581,1.9,246.551,63353,3.995620608695652,453,287,252.66666666666666,1.578397212543554,1.7928759894459103,229900,217900,831.7902845667355,39925.93365920331,158.6763143493741,155.661464376736
2017-10-01,136549,1.6,246.657,63353,3.995620608695652,431,240,250.83333333333334,1.7958333333333334,1.7182724252491695,226023.5,216500,826.4460606181653,39669.41090967193,159.70239675163336,157.14715840360722
2017-11-01,136274,2,247.378,63353,3.995620608695652,429,209,248.33333333333334,2.0526315789473686,1.72751677852349,227700,210000,801.6335922855184,38478.412429704884,164.6455661748982,161.35265485140022
2017-12-01,135966,2.5,247.736,63353,3.995620608695652,398,156,244.16666666666666,2.551282051282051,1.630034129692833,228500,212450,810.985984195516,38927.32724138477,162.7468528911679,158.67818156888868
2018-01-01,136954,3.2,248.721,65073,4.38486128205128,335,167,247.08333333333334,2.0059880239520957,1.3558178752107926,224900,215000,859.7713599351399,41269.025276886714,157.68000228598817,152.63424221283654
2018-02-01,139083,3.2,249.3,65073,4.38486128205128,440,220,249.33333333333334,2,1.7647058823529411,232700,205450,821.5815158077884,39435.91275877384,165.0094937526768,159.72918995259113
2018-03-01,138823,3.1,249.517,65073,4.38486128205128,442,212,247.16666666666666,2.0849056603773586,1.7882670262980447,235000,213200,852.5732741310319,40923.51715828953,159.0112593409355,154.0819103013665
2018-04-01,138352,2.6,250.275,65073,4.38486128205128,410,316,247.66666666666666,1.2974683544303798,1.6554508748317631,234950,215212.5,860.6211339536806,41309.81442977667,157.524309654353,153.42867760333982
2018-05-01,138733,2,250.786,65073,4.38486128205128,419,361,250.58333333333334,1.1606648199445984,1.672098436980379,237327,219900,879.3661490685455,42209.575155290186,154.1664415256364,151.08311269512367
2018-06-01,138501,2.6,251.152,65073,4.38486128205128,436,341,246.66666666666666,1.278592375366569,1.7675675675675677,233387.5,220500,881.7655110032483,42324.74452815592,153.7469410044782,149.74952053836176
2018-07-01,139367,2.1,251.345,65073,4.38486128205128,443,301,246.91666666666666,1.4717607973421927,1.7941275734053326,229900,211449,845.5711362182578,40587.414538476376,160.3280246843799,156.96113616600792
2018-08-01,138068,2.1,251.735,65073,4.38486128205128,449,277,249.75,1.6209386281588447,1.7977977977977977,230000,221900,887.3640221842212,42593.47306484262,152.77692875839318,149.56861325446692
2018-09-01,137486,1.8,252.183,65073,4.38486128205128,455,259,247.25,1.7567567567567568,1.840242669362993,229104,220000,879.7660427243293,42228.77005076781,154.09636587039748,151.3226312847303
2018-10-01,137716,1.6,252.899,65073,4.38486128205128,481,213,244.5,2.2582159624413145,1.967280163599182,227900,203900,815.3831641431398,39138.39187887071,166.26385724123318,163.60363552537345
2018-11-01,137512,1.8,252.822,65073,4.38486128205128,429,233,245.91666666666666,1.8412017167381973,1.7444933920704846,229900,215000,859.7713599351399,41269.025276886714,157.68000228598817,154.84176224484037
2018-12-01,138271,2.3,252.493,65073,4.38486128205128,388,176,247.33333333333334,2.2045454545454546,1.568733153638814,225000,215550,861.9707750419508,41374.59720201364,157.27766407556229,153.66027780182435
2019-01-01,137409,3.2,252.441,62820,4.51,360,124,243.66666666666666,2.903225806451613,1.4774281805745555,224900,219450,890.5801720554882,42747.848258663435,146.95476511444917,142.2522126307868
2019-02-01,139606,2.9,252.969,62820,4.51,393,190,241.83333333333334,2.068421052631579,1.6250861474844933,232232.5,209000,848.1715924337985,40712.23643682233,154.3025033701716,149.8277307724366
2019-03-01,139331,3,254.147,62820,4.51,403,186,240.33333333333334,2.1666666666666665,1.6768377253814146,240790,236000,957.7439991118489,45971.711957368745,136.64925086595707,132.54977333997834
2019-04-01,139365,2.3,255.326,62820,4.51,407,262,235.16666666666666,1.5534351145038168,1.7306874557051737,240000,220500,894.8413212040791,42952.3834177958,146.2549805186661,142.89111596673678
2019-05-01,140394,2,255.371,62820,4.51,434,352,234.91666666666666,1.2329545454545454,1.8474636395885067,239900,227925,924.9737330405432,44398.73918594607,141.49050435172038,138.66069426468596
2019-06-01,140470,2.4,255.423,62820,4.51,473,354,236.25,1.3361581920903955,2.002116402116402,239250,215000,872.5210161400319,41881.00877472153,149.99638699705054,146.39647370912132
2019-07-01,141581,2.1,255.925,62820,4.51,509,312,236.91666666666666,1.6314102564102564,2.1484347520225113,239000,228950,929.1334262570247,44598.40446033719,140.85705701841388,137.89905882102718
2019-08-01,140738,2,256.118,62820,4.51,504,297,238.83333333333334,1.696969696969697,2.1102581995812977,234900,226000,917.1616262681265,44023.758060870074,142.69567789542418,139.84176433751568
2019-09-01,140748,1.8,256.532,62820,4.51,444,303,241.83333333333334,1.4653465346534653,1.8359751895244658,235000,234999,953.6817035901925,45776.72177232924,137.2313210029228,134.7611572248702
2019-10-01,140783,1.5,257.387,62820,4.51,503,233,244.58333333333334,2.1587982832618025,2.056558773424191,233750,229000,929.3363381212433,44608.14422981968,140.82630220247103,138.71390766943395
2019-11-01,140211,1.7,257.989,62820,4.51,544,229,243.83333333333334,2.3755458515283845,2.2310321257689676,225000,215000,872.5210161400319,41881.00877472153,149.99638699705054,147.4464484181007
2019-12-01,139569,2,258.203,62820,4.51,493,192,244.16666666666666,2.5677083333333335,2.019112627986348,225000,221088,897.2275647272902,43066.92310690993,145.8660045066483,142.94868441651533
2020-01-01,139586,2.9,258.687,64894,2.98,462,127,244,3.6377952755905514,1.8934426229508197,225767.5,226827,763.0934828296979,36628.4871758255,177.16811422894227,172.03023891630295
2020-02-01,141172,2.6,258.824,64894,2.98,471,189,244.25,2.492063492063492,1.9283520982599796,229900,216863,729.5725022457502,35019.480107796015,185.30829070061876,180.49027514240265
2020-03-01,139650,3.1,257.989,64894,2.98,460,261,251,1.7624521072796935,1.8326693227091633,232000,216068,726.8979559225629,34891.10188428302,185.99011351152546,180.22441999266817
2020-04-01,138767,8.3,256.192,64894,2.98,516,310,255.41666666666666,1.664516129032258,2.0202283849918437,239900,232250,781.3375893839681,37504.20429043047,173.0312673679582,158.6696721764177
2020-05-01,141863,7.4,255.942,64894,2.98,539,297,250.83333333333334,1.8148148148148149,2.1488372093023256,243900,230527,775.5410569124565,37225.97073179791,174.32453398607666,161.42451847110698
2020-06-01,142440,5.7,257.282,64894,2.98,522,428,256.3333333333333,1.219626168224299,2.0364109232769834,244900,239900,807.0737898523744,38739.54191291397,167.5135966911559,157.96532167976
2020-07-01,143893,4.9,258.604,64894,2.98,505,446,266.9166666666667,1.1322869955156951,1.8919762722447704,244900,230625,775.8707494151889,37241.79597192907,174.2504578697379,165.71218543412073
2020-08-01,143223,4.4,259.511,64894,2.98,472,408,275.8333333333333,1.1568627450980393,1.711178247734139,250000,244250,821.7080999226446,39441.98879628694,164.53024297321718,157.29091228239562
2020-09-01,141868,3.2,260.149,64894,2.98,438,398,283.1666666666667,1.100502512562814,1.5467922307239552,249900,246000,827.5954660428682,39724.58237005767,163.35980425287926,158.13229051678712
2020-10-01,141024,2.9,260.462,64894,2.98,446,301,289.1666666666667,1.4817275747508305,1.5423631123919308,247700,240000,807.4102107735299,38755.69011712944,167.44379935920125,162.58792917778442
2020-11-01,140688,3.2,260.927,64894,2.98,412,276,293.6666666666667,1.4927536231884058,1.4029511918274686,244890,243000,817.5028384081992,39240.13624359356,165.3765919597049,160.08454101699434
2020-12-01,140806,3.6,261.56,64894,2.98,355,231,296.8333333333333,1.5367965367965368,1.1959573273441888,239900,240246,808.2378062395729,38795.4146994995,167.27234520536572,161.25054077797256
